"MEDV","log_MEDV","CRIM","log_CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","LON","LAT","dist_boston_center","north_south","east_west","high_LSTAT","high_TAX","spatial_cluster"
29.9,3.39785848039664,0.06642,0.064307244395167,0,4.05,"No",0.51,6.86,74.4,2.9153,"5",296,16.6,391.27,6.92,-77.0987983714286,38.8723125571429,6.97459917011276,"South","West","0","0","2"
24.6,3.20274644293832,0.05425,0.0528296136445321,0,4.05,"No",0.51,6.315,73.4,3.3175,"5",296,16.6,395.6,6.29,-77.0972983714286,38.8757125571429,6.97160030007543,"South","West","0","0","2"
23.2,3.14415227867226,0.07022,0.0678642348161299,0,4.05,"No",0.51,6.02,47.2,3.5549,"5",296,16.6,393.23,10.11,-77.0950983714286,38.8782125571429,6.96844537497161,"South","West","0","0","2"
29.4,3.38099467434464,0.06664,0.064513520825066,0,4.05,"No",0.51,6.546,33.1,3.1323,"5",296,16.6,390.96,5.33,-77.1057983714286,38.8882125571429,6.97273133931421,"South","West","0","0","2"
22.6,3.11794990627824,0.08447,0.0810913883848885,0,4.05,"No",0.51,5.859,68.7,2.7019,"5",296,16.6,393.23,9.64,-77.1242983714286,38.8857125571429,6.99002328373889,"South","West","0","0","2"
23.6,3.16124671203156,0.09178,0.0878093918244083,0,4.05,"No",0.51,6.416,84.1,2.6463,"5",296,16.6,395.5,9.04,-77.1177983714286,38.8819125571429,6.98627492752389,"South","West","0","0","2"
23.1,3.13983261752775,0.13914,0.130273591749212,0,4.05,"No",0.51,5.572,88.5,2.5961,"5",296,16.6,396.9,14.69,-77.1082983714286,38.8777125571429,6.98013201582978,"South","West","1","0","2"
21.9,3.08648663682246,0.04819,0.0470648671763303,80,3.64,"No",0.392,6.108,32,9.2203,"1",315,16.4,392.89,6.57,-122.7197267,42.1992258,51.6610771842367,"South","West","0","0","4"
20.9,3.03974915897077,0.03548,0.0348650873260794,80,3.64,"No",0.392,5.876,19.1,9.2203,"1",315,16.4,395.18,9.25,-122.6992267,42.1899258,51.6406070930724,"South","West","0","0","4"
31.1,3.43720781918519,0.02187,0.0216342821251498,60,2.93,"No",0.401,6.8,9.9,6.2196,"1",265,15.6,393.37,5.03,-71.2706089,42.4891231,0.247926639699762,"North","West","0","0","1"
29.1,3.37073817417745,0.01439,0.0142874466080695,60,2.93,"No",0.401,6.604,18.8,6.2196,"1",265,15.6,376.7,4.38,-71.2814089,42.4921231,0.258728254183452,"North","West","0","0","1"
29.6,3.38777436133001,0.06047,0.0587122060793317,0,2.46,"No",0.488,6.153,68.8,3.2797,"3",193,17.8,387.11,13.15,-122.2702883,37.5270895,51.4389374122997,"South","West","1","0","3"
26.4,3.27336401015227,0.08308,0.0798088341734152,0,2.46,"No",0.488,5.604,89.8,2.9879,"3",193,17.8,391,13.98,-122.2697883,37.5207895,51.4390319367549,"South","West","1","0","3"
50,3.91202300542815,0.05602,0.054507124498661,0,2.46,"No",0.488,7.831,53.6,3.1992,"3",193,17.8,392.63,4.45,-122.2668883,37.5144895,51.4367379102782,"South","West","0","0","3"
37.2,3.6163087612791,0.0578,0.0561912796497426,0,2.46,"No",0.488,6.98,58.4,2.829,"3",193,17.8,396.9,5.04,-122.2707883,37.5149895,51.44057347084,"South","West","0","0","3"
32.5,3.48124008933569,0.10008,0.0953829044325522,0,2.46,"No",0.488,6.563,95.6,2.847,"3",193,17.8,396.9,5.68,-122.2767883,37.5162895,51.4464243856771,"South","West","0","0","3"
37.9,3.63495111208838,0.09103,0.0871222041814029,0,2.46,"No",0.488,7.155,92.2,2.7006,"3",193,17.8,394.12,4.82,-122.2822883,37.5162895,51.4518999560996,"South","West","0","0","3"
36.2,3.58905911883173,0.06888,0.0666113712985016,0,2.46,"No",0.488,6.144,62.2,2.5979,"3",193,17.8,396.9,9.45,-122.2877883,37.5212895,51.4569051100898,"South","West","0","0","3"
39.8,3.68386691229039,0.06588,0.0638007490506618,0,2.46,"No",0.488,7.765,83.3,2.741,"3",193,17.8,395.56,7.56,-122.2817883,37.5304895,51.4500672825215,"South","West","0","0","3"
18.7,2.92852352386054,0.14932,0.139170463137971,25,5.13,"No",0.453,5.741,66.2,7.2254,"8",284,19.7,395.11,13.15,-70.8906323333333,42.5688449666667,0.268120250548342,"North","East","1","0","1"
16,2.77258872223978,0.17171,0.158464220263388,25,5.13,"No",0.453,5.966,93.4,6.8185,"8",284,19.7,378.08,14.44,-70.8921323333333,42.5548449666667,0.256392388123055,"North","East","1","0","1"
22.2,3.10009228887823,0.11027,0.104603228988645,25,5.13,"No",0.453,6.456,67.8,7.2255,"8",284,19.7,396.9,6.73,-70.8821323333333,42.5598449666667,0.266729937741231,"North","East","0","0","1"
